province,year,batch,subject_category,institution_code,institution_name,major_group_code,major_code,major_name,plan_count,selected_subject_requirements,tuition,campus,project_type,remarks,source_file,source_title,source_type,source_locator,source_published_at,source_url,retrieved_at,field_evidence_level,is_corrected,correction_status,replaces,replaced_by
四川,2026,地方优师专项计划,历史类,5120,四川师范大学,469,BN,汉语言文学(达州市万源市),0,思想政治,免费,,地方优师专项,删除原计划：专业组469 BN 汉语言文学(达州市万源市) 5 免费,招生考试报·2026年招生计划合订本（历史类）第8至9页,关于下发2026年普通高校在川招生计划更正及调整的通知,provincial_plan_correction,地方优师专项师范生调整：历史类删除内容,2026-06-25,https://www.sceea.cn/Html/202606/Newsdetail_4852.html,2026-06-25,official_current,true,cancelled,,
四川,2026,地方优师专项计划,历史类,5120,四川师范大学,470,BP,汉语言文学(达州市宣汉县),8,思想政治,免费,,地方优师专项,原计划3更正为8,招生考试报·2026年招生计划合订本（历史类）第8至9页,关于下发2026年普通高校在川招生计划更正及调整的通知,provincial_plan_correction,地方优师专项师范生调整：历史类变更内容第1项,2026-06-25,https://www.sceea.cn/Html/202606/Newsdetail_4852.html,2026-06-25,official_current,true,corrected,,
四川,2026,地方优师专项计划,历史类,5120,四川师范大学,527,E6,英语(达州市宣汉县),4,不限,免费,,地方优师专项,原计划2更正为4,招生考试报·2026年招生计划合订本（历史类）第8至9页,关于下发2026年普通高校在川招生计划更正及调整的通知,provincial_plan_correction,地方优师专项师范生调整：历史类变更内容第2项,2026-06-25,https://www.sceea.cn/Html/202606/Newsdetail_4852.html,2026-06-25,official_current,true,corrected,,
四川,2026,地方优师专项计划,物理类,5120,四川师范大学,489,CZ,数学与应用数学(达州市万源市),1,化学,免费,,地方优师专项,原计划7更正为1,招生考试报·2026年招生计划合订本（物理类）第16页,关于下发2026年普通高校在川招生计划更正及调整的通知,provincial_plan_correction,地方优师专项师范生调整：物理类变更内容第1项,2026-06-25,https://www.sceea.cn/Html/202606/Newsdetail_4852.html,2026-06-25,official_current,true,corrected,,
四川,2026,地方优师专项计划,物理类,5122,西华师范大学,258,F1,物理学(达州市万源市),0,化学,免费,,地方优师专项,删除原计划：专业组258 F1 物理学(达州市万源市) 5 免费,招生考试报·2026年招生计划合订本（物理类）第16页,关于下发2026年普通高校在川招生计划更正及调整的通知,provincial_plan_correction,地方优师专项师范生调整：物理类删除内容第2项,2026-06-25,https://www.sceea.cn/Html/202606/Newsdetail_4852.html,2026-06-25,official_current,true,cancelled,,
