province,year,subject_category,score_label,score_min,score_max,segment_count,cumulative_count,source_title,source_url,source_published_at,retrieved_at,field_evidence_level,notes
北京,2026,综合改革,692分以上,692,,111,111,北京市2026年高考考生分数分布,https://www.bjeea.cn/uploads/soft/260625/2026%E5%B9%B4%E5%8C%97%E4%BA%AC%E5%B8%82%E9%AB%98%E8%80%83%E8%80%83%E7%94%9F%E5%88%86%E6%95%B0%E5%88%86%E5%B8%83.pdf,2026-06-25,2026-06-25,official_current,统计中的分数含全国性照顾加分
北京,2026,综合改革,691,691,691,21,132,北京市2026年高考考生分数分布,https://www.bjeea.cn/uploads/soft/260625/2026%E5%B9%B4%E5%8C%97%E4%BA%AC%E5%B8%82%E9%AB%98%E8%80%83%E8%80%83%E7%94%9F%E5%88%86%E6%95%B0%E5%88%86%E5%B8%83.pdf,2026-06-25,2026-06-25,official_current,统计中的分数含全国性照顾加分
北京,2026,综合改革,690,690,690,14,146,北京市2026年高考考生分数分布,https://www.bjeea.cn/uploads/soft/260625/2026%E5%B9%B4%E5%8C%97%E4%BA%AC%E5%B8%82%E9%AB%98%E8%80%83%E8%80%83%E7%94%9F%E5%88%86%E6%95%B0%E5%88%86%E5%B8%83.pdf,2026-06-25,2026-06-25,official_current,统计中的分数含全国性照顾加分
北京,2026,综合改革,689,689,689,17,163,北京市2026年高考考生分数分布,https://www.bjeea.cn/uploads/soft/260625/2026%E5%B9%B4%E5%8C%97%E4%BA%AC%E5%B8%82%E9%AB%98%E8%80%83%E8%80%83%E7%94%9F%E5%88%86%E6%95%B0%E5%88%86%E5%B8%83.pdf,2026-06-25,2026-06-25,official_current,统计中的分数含全国性照顾加分
北京,2026,综合改革,688,688,688,26,189,北京市2026年高考考生分数分布,https://www.bjeea.cn/uploads/soft/260625/2026%E5%B9%B4%E5%8C%97%E4%BA%AC%E5%B8%82%E9%AB%98%E8%80%83%E8%80%83%E7%94%9F%E5%88%86%E6%95%B0%E5%88%86%E5%B8%83.pdf,2026-06-25,2026-06-25,official_current,统计中的分数含全国性照顾加分
北京,2026,综合改革,429,429,429,171,59457,北京市2026年高考考生分数分布,https://www.bjeea.cn/uploads/soft/260625/2026%E5%B9%B4%E5%8C%97%E4%BA%AC%E5%B8%82%E9%AB%98%E8%80%83%E8%80%83%E7%94%9F%E5%88%86%E6%95%B0%E5%88%86%E5%B8%83.pdf,2026-06-25,2026-06-25,official_current,普通本科录取控制分数线附近样本；统计中的分数含全国性照顾加分
北京,2026,综合改革,120→129,120,129,13,71054,北京市2026年高考考生分数分布,https://www.bjeea.cn/uploads/soft/260625/2026%E5%B9%B4%E5%8C%97%E4%BA%AC%E5%B8%82%E9%AB%98%E8%80%83%E8%80%83%E7%94%9F%E5%88%86%E6%95%B0%E5%88%86%E5%B8%83.pdf,2026-06-25,2026-06-25,official_current,区间分数段样本；统计中的分数含全国性照顾加分
